Age	Gene	Cancer	Annual_incidence_rate	Years_5int	Cases_5int
25	MLH1	URO	0,000000	835	0
26	MLH1	URO	0,000000	835	0
27	MLH1	URO	0,000000	835	0
28	MLH1	URO	0,000000	835	0
29	MLH1	URO	0,000000	835	0
30	MLH1	URO	0,000000	1158	0
31	MLH1	URO	0,000000	1158	0
32	MLH1	URO	0,000000	1158	0
33	MLH1	URO	0,000000	1158	0
34	MLH1	URO	0,000000	1158	0
35	MLH1	URO	0,000000	1288	0
36	MLH1	URO	0,000000	1288	0
37	MLH1	URO	0,000000	1288	0
38	MLH1	URO	0,000000	1288	0
39	MLH1	URO	0,000000	1288	0
40	MLH1	URO	0,000000	1387	0
41	MLH1	URO	0,000000	1387	0
42	MLH1	URO	0,000000	1387	0
43	MLH1	URO	0,000000	1387	0
44	MLH1	URO	0,000000	1387	0
45	MLH1	URO	0,001890	1058	2
46	MLH1	URO	0,001890	1058	2
47	MLH1	URO	0,001890	1058	2
48	MLH1	URO	0,001890	1058	2
49	MLH1	URO	0,001890	1058	2
50	MLH1	URO	0,001269	788	1
51	MLH1	URO	0,001269	788	1
52	MLH1	URO	0,001269	788	1
53	MLH1	URO	0,001269	788	1
54	MLH1	URO	0,001269	788	1
55	MLH1	URO	0,000000	492	0
56	MLH1	URO	0,000000	492	0
57	MLH1	URO	0,000000	492	0
58	MLH1	URO	0,000000	492	0
59	MLH1	URO	0,000000	492	0
60	MLH1	URO	0,000000	277	0
61	MLH1	URO	0,000000	277	0
62	MLH1	URO	0,000000	277	0
63	MLH1	URO	0,000000	277	0
64	MLH1	URO	0,000000	277	0
65	MLH1	URO	0,000000	143	0
66	MLH1	URO	0,000000	143	0
67	MLH1	URO	0,000000	143	0
68	MLH1	URO	0,000000	143	0
69	MLH1	URO	0,000000	143	0
70	MLH1	URO	0,000000	143	0
25	MSH2	URO	0,000000	441	0
26	MSH2	URO	0,000000	441	0
27	MSH2	URO	0,000000	441	0
28	MSH2	URO	0,000000	441	0
29	MSH2	URO	0,000000	441	0
30	MSH2	URO	0,000000	629	0
31	MSH2	URO	0,000000	629	0
32	MSH2	URO	0,000000	629	0
33	MSH2	URO	0,000000	629	0
34	MSH2	URO	0,000000	629	0
35	MSH2	URO	0,000000	672	0
36	MSH2	URO	0,000000	672	0
37	MSH2	URO	0,000000	672	0
38	MSH2	URO	0,000000	672	0
39	MSH2	URO	0,000000	672	0
40	MSH2	URO	0,001546	647	1
41	MSH2	URO	0,001546	647	1
42	MSH2	URO	0,001546	647	1
43	MSH2	URO	0,001546	647	1
44	MSH2	URO	0,001546	647	1
45	MSH2	URO	0,000000	514	0
46	MSH2	URO	0,000000	514	0
47	MSH2	URO	0,000000	514	0
48	MSH2	URO	0,000000	514	0
49	MSH2	URO	0,000000	514	0
50	MSH2	URO	0,002725	367	1
51	MSH2	URO	0,002725	367	1
52	MSH2	URO	0,002725	367	1
53	MSH2	URO	0,002725	367	1
54	MSH2	URO	0,002725	367	1
55	MSH2	URO	0,013333	300	4
56	MSH2	URO	0,013333	300	4
57	MSH2	URO	0,013333	300	4
58	MSH2	URO	0,013333	300	4
59	MSH2	URO	0,013333	300	4
60	MSH2	URO	0,000000	166	0
61	MSH2	URO	0,000000	166	0
62	MSH2	URO	0,000000	166	0
63	MSH2	URO	0,000000	166	0
64	MSH2	URO	0,000000	166	0
65	MSH2	URO	0,024096	83	2
66	MSH2	URO	0,024096	83	2
67	MSH2	URO	0,024096	83	2
68	MSH2	URO	0,024096	83	2
69	MSH2	URO	0,024096	83	2
70	MSH2	URO	0,024096	83	2
25	MSH6	URO	0,000000	67	0
26	MSH6	URO	0,000000	67	0
27	MSH6	URO	0,000000	67	0
28	MSH6	URO	0,000000	67	0
29	MSH6	URO	0,000000	67	0
30	MSH6	URO	0,000000	137	0
31	MSH6	URO	0,000000	137	0
32	MSH6	URO	0,000000	137	0
33	MSH6	URO	0,000000	137	0
34	MSH6	URO	0,000000	137	0
35	MSH6	URO	0,000000	215	0
36	MSH6	URO	0,000000	215	0
37	MSH6	URO	0,000000	215	0
38	MSH6	URO	0,000000	215	0
39	MSH6	URO	0,000000	215	0
40	MSH6	URO	0,000000	259	0
41	MSH6	URO	0,000000	259	0
42	MSH6	URO	0,000000	259	0
43	MSH6	URO	0,000000	259	0
44	MSH6	URO	0,000000	259	0
45	MSH6	URO	0,008065	248	2
46	MSH6	URO	0,008065	248	2
47	MSH6	URO	0,008065	248	2
48	MSH6	URO	0,008065	248	2
49	MSH6	URO	0,008065	248	2
50	MSH6	URO	0,000000	233	0
51	MSH6	URO	0,000000	233	0
52	MSH6	URO	0,000000	233	0
53	MSH6	URO	0,000000	233	0
54	MSH6	URO	0,000000	233	0
55	MSH6	URO	0,000000	155	0
56	MSH6	URO	0,000000	155	0
57	MSH6	URO	0,000000	155	0
58	MSH6	URO	0,000000	155	0
59	MSH6	URO	0,000000	155	0
60	MSH6	URO	0,010204	98	1
61	MSH6	URO	0,010204	98	1
62	MSH6	URO	0,010204	98	1
63	MSH6	URO	0,010204	98	1
64	MSH6	URO	0,010204	98	1
65	MSH6	URO	0,000000	78	0
66	MSH6	URO	0,000000	78	0
67	MSH6	URO	0,000000	78	0
68	MSH6	URO	0,000000	78	0
69	MSH6	URO	0,000000	78	0
70	MSH6	URO	0,000000	78	0
25	PMS2	URO	0,000000	7	0
26	PMS2	URO	0,000000	7	0
27	PMS2	URO	0,000000	7	0
28	PMS2	URO	0,000000	7	0
29	PMS2	URO	0,000000	7	0
30	PMS2	URO	0,000000	16	0
31	PMS2	URO	0,000000	16	0
32	PMS2	URO	0,000000	16	0
33	PMS2	URO	0,000000	16	0
34	PMS2	URO	0,000000	16	0
35	PMS2	URO	0,000000	42	0
36	PMS2	URO	0,000000	42	0
37	PMS2	URO	0,000000	42	0
38	PMS2	URO	0,000000	42	0
39	PMS2	URO	0,000000	42	0
40	PMS2	URO	0,000000	26	0
41	PMS2	URO	0,000000	26	0
42	PMS2	URO	0,000000	26	0
43	PMS2	URO	0,000000	26	0
44	PMS2	URO	0,000000	26	0
45	PMS2	URO	0,000000	30	0
46	PMS2	URO	0,000000	30	0
47	PMS2	URO	0,000000	30	0
48	PMS2	URO	0,000000	30	0
49	PMS2	URO	0,000000	30	0
50	PMS2	URO	0,000000	47	0
51	PMS2	URO	0,000000	47	0
52	PMS2	URO	0,000000	47	0
53	PMS2	URO	0,000000	47	0
54	PMS2	URO	0,000000	47	0
55	PMS2	URO	0,000000	54	0
56	PMS2	URO	0,000000	54	0
57	PMS2	URO	0,000000	54	0
58	PMS2	URO	0,000000	54	0
59	PMS2	URO	0,000000	54	0
60	PMS2	URO	0,000000	47	0
61	PMS2	URO	0,000000	47	0
62	PMS2	URO	0,000000	47	0
63	PMS2	URO	0,000000	47	0
64	PMS2	URO	0,000000	47	0
65	PMS2	URO	0,000000	31	0
66	PMS2	URO	0,000000	31	0
67	PMS2	URO	0,000000	31	0
68	PMS2	URO	0,000000	31	0
69	PMS2	URO	0,000000	31	0
70	PMS2	URO	0,000000	31	0